Body Name,Organisational Unit,Expenditure Category,Expenditure Code,Paid Date,Trans No,Amount,Type,Supplier ID,Supplier Name
Oxford City Council,"Policy, Culture and Communication",Pitch & Site Rents,K9534,00:00:00,46281108_1,1500,Revenue,20000000_46281108,OXFORD ROUND TABLE CHARITABLE TRUST
Oxford City Council,Suspense,Creditors - BACS,J8810,00:00:00,46281142_1,2000,Revenue,20000000_46281142,ARTSWORK
Oxford City Council,"Policy, Culture and Communication",Grants,D3701,00:00:00,46281256_1,653,Revenue,20000000_46281256,ELLEN HAVARD
Oxford City Council,"Policy, Culture and Communication",Pitch & Site Rents,K9534,00:00:00,46281283_1,1137.16,Revenue,20000000_46281283,HEBBORN AMUSEMENTS
Oxford City Council,Suspense,Property Rents/Income,K9550,00:00:00,46281462_1,5750,Revenue,20000000_46281462,The Mission Mexican Grill Lltd. 
Oxford City Council,Interest Payable & Investment Income,Other Interest,H7802,00:00:00,46281462_2,88.3,Revenue,20000000_46281462,The Mission Mexican Grill Lltd. 
Oxford City Council,Suspense,Creditors - BACS,J8810,00:00:00,46281515_1,846.68,Revenue,20000000_46281515,Mr T Anders
Oxford City Council,Suspense,Property Rents/Income,K9550,00:00:00,46281540_1,5750,Revenue,20000000_46281540,The Mission Mexican Grill Ltd. 
Oxford City Council,Interest Payable & Investment Income,Other Interest,H7802,00:00:00,46281540_2,88.3,Revenue,20000000_46281540,The Mission Mexican Grill Ltd. 
Oxford City Council,"Policy, Culture and Communication",Pitch & Site Rents,K9534,00:00:00,46281724_1,1362,Revenue,20000000_46281724,Extreme Events Europe Ltd. 
Oxford City Council,"Policy, Culture and Communication",Pitch & Site Rents,K9534,00:00:00,46281726_1,1500,Revenue,20000000_46281726,WOC Ltd t/z Zippos Circus
Oxford City Council,Suspense,Property Rents/Income,K9550,00:00:00,46281822_1,3375,Revenue,20000000_46281822,Redacted
Oxford City Council,"Policy, Culture and Communication",Pitch & Site Rents,K9534,00:00:00,46281841_1,500,Revenue,20000000_46281841,Bo-Concepts Ltd. 
Oxford City Council,"Policy, Culture and Communication",Pitch & Site Rents,K9534,00:00:00,46281890_1,500,Revenue,20000000_46281890,BLACKBIRD LEYS ACADEMY TRUST
Oxford City Council,Suspense,Other Income,K9911,00:00:00,46282061_1,712.5,Revenue,20000000_46282061,Redacted
Oxford City Council,Direct Services,Reactive Maintenance & Minor Repairs,B1101,00:00:00,46282107_1,3241.19,Revenue,20000000_46282107,R J HEATHMAN CONTRACTORS LTD T/AS COUNTY CONTRACTORS
Oxford City Council,Suspense,Creditors - BACS,J8810,00:00:00,46282131_1,742.93,Revenue,20000000_46282131,OXFORD HOMELESS PATHWAYS
Oxford City Council,Customer Services,Grants,D3701,00:00:00,46282181_1,2500,Revenue,20000000_46282181,FOLLY BRIDGE BRASSERIE LTD
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,00:00:00,46281132_1,1250,Revenue,20000010_46281132,Redacted personal information
Oxford City Council,Housing and Property,Homeless Prevention,D3426,00:00:00,46281162_1,1225,Revenue,20000010_46281162,Redacted personal information
Oxford City Council,Housing and Property,Homeless Prevention,D3426,00:00:00,46281163_1,1265,Revenue,20000010_46281163,Redacted personal information
Oxford City Council,Housing and Property,Homeless Prevention,D3426,00:00:00,46281164_1,1225,Revenue,20000010_46281164,Redacted personal information
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,00:00:00,46281177_1,534.91,Revenue,20000010_46281177,Redacted personal information
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,00:00:00,46281179_1,1265,Revenue,20000010_46281179,Redacted personal information
Oxford City Council,HRA,Special Events,D3807,00:00:00,46281272_1,843.84,Revenue,20000010_46281272,Redacted personal information
Oxford City Council,Housing and Property,Homeless Prevention,D3426,00:00:00,46281343_1,1097.5,Revenue,20000010_46281343,HENLEY PROPERTY PARTNERSHIP LTD
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,00:00:00,46281356_1,2400,Revenue,20000010_46281356,Redacted personal information
Oxford City Council,HRA,Special Events,D3807,00:00:00,46281391_1,2000,Revenue,20000010_46281391,Redacted personal information
Oxford City Council,HRA,Special Events,D3807,00:00:00,46281436_1,921.75,Revenue,20000010_46281436,Redacted personal information
Oxford City Council,HRA,Special Events,D3807,00:00:00,46281438_1,1616,Revenue,20000010_46281438,Redacted personal information
Oxford City Council,HRA,Special Events,D3807,00:00:00,46281442_1,2516.74,Revenue,20000010_46281442,Redacted personal information
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,00:00:00,46281445_1,900,Revenue,20000010_46281445,Redacted personal information
Oxford City Council,HRA,Special Events,D3807,00:00:00,46281451_1,1500,Revenue,20000010_46281451,Redacted personal information
Oxford City Council,HRA,Special Events,D3807,00:00:00,46281455_1,1511.13,Revenue,20000010_46281455,Redacted personal information
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,00:00:00,46281474_1,1225,Revenue,20000010_46281474,Redacted personal information
Oxford City Council,HRA,Special Events,D3807,00:00:00,46281483_1,921.75,Revenue,20000010_46281483,Redacted personal information
Oxford City Council,HRA,Special Events,D3807,00:00:00,46281483_2,314.94,Revenue,20000010_46281483,Redacted personal information
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,00:00:00,46281506_1,600,Revenue,20000010_46281506,Redacted personal information
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,00:00:00,46281509_1,1650,Revenue,20000010_46281509,Redacted personal information
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,00:00:00,46281511_1,900,Revenue,20000010_46281511,Redacted personal information
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,00:00:00,46281512_1,1950,Revenue,20000010_46281512,Redacted personal information
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,00:00:00,46281535_1,1200,Revenue,20000010_46281535,Redacted personal information
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,00:00:00,46281535_2,800,Revenue,20000010_46281535,Redacted personal information
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,00:00:00,46281564_1,1225,Revenue,20000010_46281564,Redacted personal information
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,00:00:00,46281566_1,1087.5,Revenue,20000010_46281566,Redacted personal information
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,00:00:00,46281570_1,1750,Revenue,20000010_46281570,Redacted personal information
Oxford City Council,HRA,Special Events,D3807,00:00:00,46281635_1,760.48,Revenue,20000010_46281635,Redacted personal information
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,00:00:00,46281640_1,840,Revenue,20000010_46281640,Redacted personal information
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,00:00:00,46281642_1,600,Revenue,20000010_46281642,Redacted personal information
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,00:00:00,46281677_1,1650,Revenue,20000010_46281677,Redacted personal information
Oxford City Council,HRA,Special Events,D3807,00:00:00,46281680_1,2516.74,Revenue,20000010_46281680,Redacted personal information
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,00:00:00,46281692_1,1700,Revenue,20000010_46281692,Redacted personal information
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,00:00:00,46281705_1,1100,Revenue,20000010_46281705,MASQ ENTERPRISES
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,00:00:00,46281705_2,850,Revenue,20000010_46281705,MASQ ENTERPRISES
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,00:00:00,46281705_3,145,Revenue,20000010_46281705,MASQ ENTERPRISES
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,00:00:00,46281708_1,900,Revenue,20000010_46281708,Redacted personal information
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,00:00:00,46281710_1,950,Revenue,20000010_46281710,Redacted personal information
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,00:00:00,46281713_1,3100,Revenue,20000010_46281713,Redacted personal information
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,00:00:00,46281717_1,1900,Revenue,20000010_46281717,Redacted personal information
Oxford City Council,HRA,Special Events,D3807,00:00:00,46281771_1,3000,Revenue,20000010_46281771,Redacted personal information
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,00:00:00,46281825_1,1820,Revenue,20000010_46281825,Redacted personal information
Oxford City Council,HRA,Special Events,D3807,00:00:00,46281848_1,502.16,Revenue,20000010_46281848,Redacted personal information
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,00:00:00,46281863_1,1515,Revenue,20000010_46281863,Redacted personal information
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,00:00:00,46281864_1,1237.5,Revenue,20000010_46281864,Wheatley Estates (Organisation)
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,00:00:00,46281864_2,200,Revenue,20000010_46281864,Wheatley Estates (Organisation)
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,00:00:00,46281864_3,825,Revenue,20000010_46281864,Wheatley Estates (Organisation)
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,00:00:00,46281866_1,1475,Revenue,20000010_46281866,Redacted personal information
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,00:00:00,46281869_1,1225,Revenue,20000010_46281869,Redacted personal information
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,00:00:00,46281875_1,530.4,Revenue,20000010_46281875,Redacted personal information
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,00:00:00,46281878_1,1085,Revenue,20000010_46281878,Redacted personal information
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,00:00:00,46281879_1,1225,Revenue,20000010_46281879,Redacted personal information
Oxford City Council,HRA,Special Events,D3807,00:00:00,46281880_1,1883.7,Revenue,20000010_46281880,Redacted personal information
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,00:00:00,46281916_1,841.66,Revenue,20000010_46281916,Cherwell Property Services Ltd. 
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,00:00:00,46281922_1,600.08,Revenue,20000010_46281922,Redacted personal information
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,00:00:00,46281928_1,744,Revenue,20000010_46281928,Redacted personal information
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,00:00:00,46281929_1,1263.97,Revenue,20000010_46281929,Redacted personal information
Oxford City Council,HRA,Special Events,D3807,00:00:00,46281952_1,1100,Revenue,20000010_46281952,Redacted personal information
Oxford City Council,HRA,Special Events,D3807,00:00:00,46281953_1,1000,Revenue,20000010_46281953,Redacted personal information
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,00:00:00,46281954_1,530.4,Revenue,20000010_46281954,Redacted personal information
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,00:00:00,46281957_1,550,Revenue,20000010_46281957,Redacted personal information
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,00:00:00,46281958_1,550,Revenue,20000010_46281958,Redacted personal information
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,00:00:00,46281959_1,850,Revenue,20000010_46281959,Redacted personal information
Oxford City Council,HRA,Special Events,D3807,00:00:00,46281962_1,994.95,Revenue,20000010_46281962,Redacted personal information
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,00:00:00,46281966_1,1500,Revenue,20000010_46281966,Redacted personal information
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,00:00:00,46281967_1,560,Revenue,20000010_46281967,SPICERHAART RESIDENTIAL LETTINGS LTD CLIENT ACCOUNT
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,00:00:00,46281967_2,460,Revenue,20000010_46281967,SPICERHAART RESIDENTIAL LETTINGS LTD CLIENT ACCOUNT
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,00:00:00,46282040_1,695,Revenue,20000010_46282040,Redacted personal information
