Body Name,Organisatonal Unit,Expenditure Category,Expenditure Code,Paid Date,Trans No,Amount,Type,Supplier ID,Supplier Name
Oxford City Council,Financial Services,Grants,D3701,07/04/2015,46285340_1,1054.11,Revenue,20000000_46285340,Redacted personal data
Oxford City Council,Financial Services,Grants,D3701,07/04/2015,46285341_1,1255.18,Revenue,20000000_46285341,Redacted personal data
Oxford City Council,Housing and Property,Reactive Maintenance & Minor Repairs,B1101,07/04/2015,46285354_1,8310.6,Revenue,20000000_46285354,THE EYRE ESTATE INVESTMENT FUND
Oxford City Council,Direct Services,Grants,D3701,01/04/2015,46285364_1,866.34,Revenue,20000000_46285364,BARRACKS LANE ALLOTMNET
Oxford City Council,Direct Services,Grants,D3701,01/04/2015,46285377_1,500,Revenue,20000000_46285377,OXFORD & DISTRICT FEDERATION OF ALLOTMENT ASSOCIATIONS
Oxford City Council,Organisational Development,Short Courses,A0622,07/04/2015,46285393_1,1100,Revenue,20000000_46285393,YOUNG PROGRAMME EVENTS LTD
Oxford City Council,Financial Services,Grants,D3701,21/04/2015,46285526_1,5000,Revenue,20000000_46285526,Redacted personal data
Oxford City Council,Direct Services,Pitch & Site Rents,K9534,21/04/2015,46285562_1,750,Revenue,20000000_46285562,OXFORDSHIRE SCIENCE FESTIVAL
Oxford City Council,Financial Services,Grants,D3701,28/04/2015,46285617_1,3488.1,Revenue,20000000_46285617,Redacted personal data
Oxford City Council,Financial Services,Grants,D3701,28/04/2015,46285637_1,4986,Revenue,20000000_46285637,Redacted personal data
Oxford City Council,Community Services,Contributions,D3702,06/05/2015,46285718_1,500,Revenue,20000000_46285718,WOLVERCOTE LUNCH CLUB
Oxford City Council,Suspense,Creditors - BACS,J8810,06/05/2015,46285719_1,1000,Revenue,20000000_46285719,Isis Academy
Oxford City Council,Financial Services,Grants,D3701,12/05/2015,46285722_1,1229.17,Revenue,20000000_46285722,Redacted personal data
Oxford City Council,Financial Services,Grants,D3701,12/05/2015,46285736_1,4082.4,Revenue,20000000_46285736,Redacted personal data
Oxford City Council,Suspense,Property Rents/Income,K9550,12/05/2015,46285766_1,11250,Revenue,20000000_46285766,STARWHITE LTD
Oxford City Council,Planning & Regulatory,Services - General Fees,K9501,19/05/2015,46285827_1,2500,Revenue,20000000_46285827,JHP (EXETER) LTD
Oxford City Council,Suspense,Creditors - BACS,J8810,19/05/2015,46285828_1,2747.55,Revenue,20000000_46285828,NHS PROPERTY SERVICES LTD
Oxford City Council,Business Improvement,Conferences,D3602,19/05/2015,46285833_1,950,Revenue,20000000_46285833,IMPARTURE LTD
Oxford City Council,Financial Services,Grants,D3701,09/06/2015,46286100_1,4479.99,Revenue,20000000_46286100,Redacted personal data
Oxford City Council,Financial Services,Grants,D3701,09/06/2015,46286101_1,10000,Revenue,20000000_46286101,EDWIN COURT RESIDENTS ASSOCIATION
Oxford City Council,Financial Services,Grants,D3701,09/06/2015,46286102_1,4926.63,Revenue,20000000_46286102,Redacted personal data
Oxford City Council,Financial Services,Grants,D3701,09/06/2015,46286104_1,2026.37,Revenue,20000000_46286104,Redacted personal data
Oxford City Council,Financial Services,Grants,D3701,09/06/2015,46286105_1,5000,Revenue,20000000_46286105,Redacted personal data
Oxford City Council,Financial Services,Grants,D3701,09/06/2015,46286106_1,2516.48,Revenue,20000000_46286106,Redacted personal data
Oxford City Council,Financial Services,Grants,D3701,09/06/2015,46286107_1,5000,Revenue,20000000_46286107,Redacted personal data
Oxford City Council,Direct Services,Consultants Fees,D3411,09/06/2015,46286110_1,884,Revenue,20000000_46286110,MMI ASSOCIATES
Oxford City Council,Direct Services,General Contracted Services,D3401,09/06/2015,46286111_1,2465,Revenue,20000000_46286111,MMI ASSOCIATES LTD
Oxford City Council,Direct Services,General Contracted Services,D3401,09/06/2015,46286113_1,1306,Revenue,20000000_46286113,MMI ASSOCIATES LTD
Oxford City Council,Community Services,Pitch & Site Rents,K9534,09/06/2015,46286115_1,1500,Revenue,20000000_46286115,EXTREME EVENTS EUROPE LTD
Oxford City Council,Community Services,Pitch & Site Rents,K9534,09/06/2015,46286116_1,500,Revenue,20000000_46286116,CHARITY LINK
