body_name,organisational_unit,expenditure_category,expenditure_code,paid_date,trans_no,amount,type,supplier_id,supplier_name
Oxford City Council,Direct Services,Subscriptions,D3703,05/04/2016,46289405_1,2240,Revenue,20000000_46289405,Infomill
Oxford City Council,General Fund,VAT Pro Forma Invoices,Z110205,05/04/2016,46289405_2,448,Revenue,20000000_46289405,Infomill
Oxford City Council,HRA,Day to Day Repairs - Occupied,B1180,26/04/2016,46289602_1,2000,Revenue,20000000_46289602,
Oxford City Council,Community Services,Relocation Expenses,A0701,26/04/2016,46289612_1,4000,Revenue,20000000_46289612,Phoenix Sports Association
Oxford City Council,General Fund,AR Refunds (Sundries & Periodics),Z400404,04/05/2016,46289723_1,587.52,Revenue,20000000_46289723,Benugo Ltd. 
Oxford City Council,Suspense,Creditors - BACS,J8810,17/05/2016,46289842_1,620,Revenue,20000000_46289842,University of Oxford
Oxford City Council,Suspense,Creditors - BACS,J8810,24/05/2016,46289974_1,8376.55,Revenue,20000000_46289974,L A Leisure Ltd. 
Oxford City Council,Housing and Property,Compensation,D3805,07/06/2016,46290113_1,750,Revenue,20000000_46290113,
Oxford City Council,Housing and Property,Reactive Maintenance & Minor Repairs,B1101,03/06/2016,46290122_1,3150,Revenue,20000000_46290122,Thames Valley Region Ltd
Oxford City Council,Suspense,Property Rents/Income,K9550,14/06/2016,46290144_1,37500,Revenue,20000000_46290144,Bills Restaurants ltd
Oxford City Council,Suspense,Property Rents/Income,K9550,14/06/2016,46290144_2,639.04,Revenue,20000000_46290144,Bills Restaurants ltd
Oxford City Council,Suspense,Bank Credits Suspense,K9901,14/06/2016,46290159_1,393,Revenue,20000000_46290159,Keble College
Oxford City Council,Suspense,Bank Credits Suspense,K9901,14/06/2016,46290159_2,150,Revenue,20000000_46290159,Keble College
Oxford City Council,Suspense,Insurance Employee Related,A0801,17/06/2016,46290201_1,2077.5,Revenue,20000000_46290201,C.L. Legal Ltd. 
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,05/04/2016,46289353_1,1091.04,Revenue,20000010_46289353,
