Service Area,Expenditure Category,Expenditure Code,Paid Date,Trans No,Amount,Type,Supplier ID,Supplier Name
General Fund,Difference A/c,Z910198,03/05/2017,1036863 - 4,-0.01,Revenue,,
General Fund,C.I.T.Awaiting Payment,Z970590,19/04/2017,46293406 - 1,8151.9,Revenue,20016580,HMRC
General Fund,AR Refunds (Sundries & Periodics),Z400404,21/04/2017,46293454 - 1,1000,Revenue,36801517,iMP
General Fund,AR Refunds (Sundries & Periodics),Z400404,28/04/2017,46293534 - 1,809.64,Revenue,36725613,TOUCHLOAD LTD
General Fund,C.I.T.Awaiting Payment,Z970590,16/05/2017,46293661 - 1,4060.95,Revenue,20016580,HMRC
General Fund,AR Refunds (Sundries & Periodics),Z400404,12/05/2017,46293676 - 0,2021.74,Revenue,36723972,RUSKIN COLLEGE
General Fund,AR Refunds (Sundries & Periodics),Z400404,12/05/2017,46293679 - 1,3385.67,Revenue,36009321,RED OPIA LTD
General Fund,AR Refunds (Sundries & Periodics),Z400404,12/05/2017,46293681 - 1,540,Revenue,36022651,ST CHRISTOPHERS PRIMARY SCHOOL
General Fund,AR Refunds (Sundries & Periodics),Z400404,16/05/2017,46293692 - 1,1250,Revenue,20014454,EMMAUS OXFORD (STORE) LIMITED
General Fund,AR Refunds (Sundries & Periodics),Z400404,19/05/2017,46293791 - 0,500,Revenue,36701489,QUIDDITCH UK
General Fund,AR Refunds (Sundries & Periodics),Z400404,19/05/2017,46293793 - 0,639.73,Revenue,36725179,TOUCHLOAD LTD T/A KINGS SCHOOL
General Fund,AR Refunds (Sundries & Periodics),Z400404,23/05/2017,46293804 - 1,726.44,Revenue,20000000,GENERAL EXPENSES
General Fund,C.I.T.Awaiting Payment,Z970590,13/06/2017,46294033 - 1,5416.01,Revenue,20016580,HMRC
General Fund,Difference A/c,Z910198,20/06/2017,46294096 - 3,-0.01,Revenue,,
General Fund,AR Refunds (Sundries & Periodics),Z400404,23/06/2017,46294207 - 0,500,Revenue,36022982,BRITISH HEART FOUNDATION
General Fund,AR Refunds (Sundries & Periodics),Z400404,23/06/2017,46294208 - 1,1000,Revenue,36801295,ATHAR ALI & NADIA AZIZ
General Fund,AR Refunds (Sundries & Periodics),Z400404,23/06/2017,46294214 - 1,500,Revenue,36023784,OXFORD HINDU TEMPLE AND COMMUNITY CENTRE PROJECT
General Fund,AR Refunds (Sundries & Periodics),Z400404,23/06/2017,46294215 - 0,500,Revenue,36018462,OXFORD UNIVERSITY HINDU SOCIETY
General Fund,AR Refunds (Sundries & Periodics),Z400404,23/06/2017,46294216 - 1,500,Revenue,36801621,DIGME FITNESS
General Fund,AR Refunds (Sundries & Periodics),Z400404,23/06/2017,46294222 - 1,607.41,Revenue,36725660,WEBB ONE LTD T/A MCDONALDS BOTLEY
Assistant Chief Executive,General Contracted Services,D3401,04/04/2017,1036241 - 0,800,Revenue,20003025,PETE RUSSELL
Assistant Chief Executive,Consultants Fees,D3411,25/04/2017,1036401 - 0,43900,Revenue,20018173,MARKET & OPINION RESEARCH INTERNATIONAL LTD T/A IPSOS MORI
Assistant Chief Executive,Contract Printing (External),D3303,11/04/2017,1036443 - 0,3675,Revenue,20011523,HERALD CHASE
Assistant Chief Executive,General Stationery Supplies,D3301,11/04/2017,1036443 - 1,1450,Revenue,20011523,HERALD CHASE
Assistant Chief Executive,Postage & Carriage,D3501,11/04/2017,1036443 - 2,20192.16,Revenue,20011523,HERALD CHASE
Assistant Chief Executive,Grants,D3701,25/04/2017,1036444 - 0,1000,Revenue,20016727,AGE UK OXFORDSHIRE
Assistant Chief Executive,Temporary Bureau Staffing,A0108,11/04/2017,1036673 - 0,16330,Revenue,20016203,PENNA PLC
Assistant Chief Executive,Advertising & Publicity,D3802,25/04/2017,1036824 - 0,14950,Revenue,20004336,HEMMING GROUP LTD
Assistant Chief Executive,Grants,D3701,16/05/2017,1036906 - 1,6000,Revenue,20013670,RESOURCE FUTURES LTD
Assistant Chief Executive,Staff Advertising,A0702,03/05/2017,1037022 - 0,1950,Revenue,20015377, GUARDIAN NEWS & MEDIA LTD
Assistant Chief Executive,Away Days,A0635,06/06/2017,1037294 - 0,510,Revenue,20011651,UNIVERSITY OF OXFORD
Assistant Chief Executive,General Contracted Services,D3401,31/05/2017,1037394 - 0,1300,Revenue,20015995,OXFORD DIGITAL MEDIA LTD
Assistant Chief Executive,General Contracted Services,D3401,31/05/2017,1037407 - 0,5000,Revenue,20019473,WATERSHED ARTS TRUST LTD
Assistant Chief Executive,Temporary Bureau Staffing,A0108,16/05/2017,1037424 - 0,12070,Revenue,20016203,PENNA PLC
Assistant Chief Executive,Consultants Fees,D3411,31/05/2017,1037457 - 0,6930,Revenue,20016203,PENNA PLC
Assistant Chief Executive,Consultants Fees,D3411,31/05/2017,1037458 - 0,9240,Revenue,20016203,PENNA PLC
