Organisation,Service Area,Expenditure Unit,Expenditure Code,Paid Date,Trans No,Amount,caporrev,Supplier ID,Supplier Name
Oxford City Council,Finance,General Contracted Services,D3401,06/01/2015,46284350_1,1068.60,Revenue,20000000_46284350,MR Y ALI
Oxford City Council,Finance,General Contracted Services,D3401,06/01/2015,46284350_2,1212.00,Revenue,20000000_46284350,MR Y ALI
Oxford City Council,Regeneration and Major Projects Team,Reactive Maintenance & Minor Repairs,B1101,09/01/2015,46284366_1,7195.56,Revenue,20000000_46284366,ROBERT SURMAN
Oxford City Council,Policy  Culture and Communication,Pitch & Site Rents,K9534,13/01/2015,46284388_1,1000.00,Revenue,20000000_46284388,COUTTS RATTLING STICK
Oxford City Council,Direct Services,Other Licences And Fees,C2203,20/01/2015,46284412_1,1122.66,Revenue,20000000_46284412,ASHWOODS LIGHTFOOT LTD
Oxford City Council,Policy  Culture and Communication,Pitch & Site Rents,K9534,20/01/2015,46284423_1,500.00,Revenue,20000000_46284423,NIRA EVENTS
Oxford City Council,Housing and Property,Stamp Duty & Other Legal Fees,D3415,16/01/2015,46284425_1,2318.00,Revenue,20000000_46284425,HM REVENUES & CUSTOMS ONLY
Oxford City Council,City Development,Compensation,D3805,23/01/2015,46284520_1,2383.74,Revenue,20000000_46284520,Redacted personal data
Oxford City Council,Regeneration and Major Projects Team,Consultants Fees,D3411,03/02/2015,46284613_1,2870.00,Revenue,20000000_46284613,IAN BRIDGE CONSULTANCY LTD
Oxford City Council,Regeneration and Major Projects Team,Property Rents/Income,K9450,03/02/2015,46284623_1,76726.50,Revenue,20000000_46284623,WESTGATE OXFORD ALLIANCE LLP
Oxford City Council,Regeneration and Major Projects Team,Services - General Fees,K9501,03/02/2015,46284628_1,1500.00,Revenue,20000000_46284628,CONWAY & COMPANY
Oxford City Council,City Development,Compensation,D3805,30/01/2015,46284656_1,7014.40,Revenue,20000000_46284656,Redacted personal data
Oxford City Council,General Fund,AR Refunds (Sundries & Periodics),Z400404,17/02/2015,46284771_1,13750.00,Revenue,20000000_46284771,AMT Coffee Ltd
Oxford City Council,General Fund,AR Refunds (Sundries & Periodics),Z400404,17/02/2015,46284773_1,1910.00,Revenue,20000000_46284773,AMT Coffee Ltd. 
Oxford City Council,Customer Services,Grants,D3701,24/02/2015,46284836_1,4404.00,Revenue,20000000_46284836,Redacted personal data
