body_name,organisational_unit,expenditure_category,expenditure_code,paid_date,trans_no,amount,caporrev,supplier_id,supplier_name
Oxford City Council,Suspense,Creditors - BACS,J8810,12/01/2016,46288359_1,7128.57,Revenue,20000000_46288359,Oxford Homeless Pathways
Oxford City Council,General Fund,AR Refunds (Sundries & Periodics),Z400404,12/01/2016,46288376_1,818.00,Revenue,20000000_46288376,Oxford University Hindu Society
Oxford City Council,Community Services,Instructors & Coaching Fees,D3413,26/01/2016,46288586_1,750.00,Revenue,20000000_46288586,Abingdon Badminton Club
Oxford City Council,General Fund,AR Refunds (Sundries & Periodics),Z400404,26/01/2016,46288593_1,1979.33,Revenue,20000000_46288593,Redacted personal details
Oxford City Council,Suspense,Creditors - BACS,J8810,29/01/2016,46288662_1,1668.44,Revenue,20000000_46288662,Redacted personal details
Oxford City Council,Suspense,Creditors - BACS,J8810,08/03/2016,46288916_1,50496.86,Revenue,20000000_46288916,Ruskin College
Oxford City Council,Community Services,Contributions,D3702,15/03/2016,46289064_1,540.00,Revenue,20000000_46289064,Feeding the Gaps
Oxford City Council,General Fund,AR Refunds (Sundries & Periodics),Z400404,15/03/2016,46289086_1,500.00,Revenue,20000000_46289086,MCC Promotions Ltd.
Oxford City Council,Direct Services,Deferred Charges Reversal,K9956,22/03/2016,46289217_1,1915.00,Revenue,20000000_46289217,Scania GB Ltd. 
Oxford City Council,Housing and Property,Consultants Fees,D3411,29/03/2016,46289248_1,1500.00,Revenue,20000000_46289248,Taylor Wessing LLP
Oxford City Council,Suspense,Creditors - BACS,J8810,29/03/2016,46289250_1,1144.80,Revenue,20000000_46289250,Wantage C of E Primary School
Oxford City Council,Suspense,Creditors - BACS,J8810,29/03/2016,46289251_1,745.00,Revenue,20000000_46289251,SSE
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,12/01/2016,46288379_1,360.00,Revenue,20000010_46288379,Redacted personal details
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,12/01/2016,46288379_2,925.00,Revenue,20000010_46288379,Redacted personal details
Oxford City Council,HRA,Special Events,D3807,12/01/2016,46288433_1,759.91,Revenue,20000010_46288433,Redacted personal details
Oxford City Council,HRA,Special Events,D3807,12/01/2016,46288434_1,3054.29,Revenue,20000010_46288434,Redacted personal details
Oxford City Council,HRA,Special Events,D3807,12/01/2016,46288435_1,1702.29,Revenue,20000010_46288435,Redacted personal details
Oxford City Council,HRA,Special Events,D3807,12/01/2016,46288437_1,1000.00,Revenue,20000010_46288437,Redacted personal details
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,26/01/2016,46288535_1,546.00,Revenue,20000010_46288535,Redacted personal details
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,26/01/2016,46288536_1,748.68,Revenue,20000010_46288536,Redacted personal details
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,29/01/2016,46288613_1,636.44,Revenue,20000010_46288613,Redacted personal details
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,29/01/2016,46288626_1,1668.16,Revenue,20000010_46288626,Redacted personal details
Oxford City Council,HRA,Special Events,D3807,29/01/2016,46288643_1,726.50,Revenue,20000010_46288643,Redacted personal details
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,29/01/2016,46288658_1,1725.00,Revenue,20000010_46288658,Redacted personal details
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,09/02/2016,46288710_1,925.00,Revenue,20000010_46288710,Redacted personal details
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,09/02/2016,46288710_2,882.92,Revenue,20000010_46288710,Redacted personal details
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,09/02/2016,46288710_3,363.68,Revenue,20000010_46288710,Redacted personal details
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,09/02/2016,46288711_1,1802.35,Revenue,20000010_46288711,Redacted personal details
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,09/02/2016,46288715_1,1575.00,Revenue,20000010_46288715,Redacted personal details
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,09/02/2016,46288715_2,1187.71,Revenue,20000010_46288715,Redacted personal details
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,09/02/2016,46288715_3,180.00,Revenue,20000010_46288715,Redacted personal details
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,16/02/2016,46288719_1,549.00,Revenue,20000010_46288719,Redacted personal details
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,16/02/2016,46288746_1,192.46,Revenue,20000010_46288746,Redacted personal details
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,16/02/2016,46288746_2,900.00,Revenue,20000010_46288746,Redacted personal details
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,16/02/2016,46288746_3,1668.00,Revenue,20000010_46288746,Redacted personal details
Oxford City Council,HRA,Special Events,D3807,16/02/2016,46288765_1,2900.29,Revenue,20000010_46288765,Redacted personal details
Oxford City Council,HRA,Special Events,D3807,23/02/2016,46288798_1,811.85,Revenue,20000010_46288798,Redacted personal details
Oxford City Council,HRA,Special Events,D3807,23/02/2016,46288799_1,1000.00,Revenue,20000010_46288799,Redacted personal details
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,23/02/2016,46288840_1,820.00,Revenue,20000010_46288840,Redacted personal details
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,08/03/2016,46288951_1,545.52,Revenue,20000010_46288951,Redacted personal details
Oxford City Council,HRA,Special Events,D3807,08/03/2016,46288961_1,797.59,Revenue,20000010_46288961,Redacted personal details
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,08/03/2016,46288985_1,2239.05,Revenue,20000010_46288985,Redacted personal details
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,08/03/2016,46288992_1,975.00,Revenue,20000010_46288992,Redacted personal details
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,08/03/2016,46288992_2,576.98,Revenue,20000010_46288992,Redacted personal details
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,08/03/2016,46288992_3,1691.04,Revenue,20000010_46288992,Redacted personal details
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,08/03/2016,46288992_4,1950.00,Revenue,20000010_46288992,Redacted personal details
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,08/03/2016,46288993_1,900.00,Revenue,20000010_46288993,Redacted personal details
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,08/03/2016,46288993_2,132.00,Revenue,20000010_46288993,Redacted personal details
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,08/03/2016,46288994_1,132.00,Revenue,20000010_46288994,Redacted personal details
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,08/03/2016,46288994_2,900.00,Revenue,20000010_46288994,Redacted personal details
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,08/03/2016,46288995_1,576.98,Revenue,20000010_46288995,Redacted personal details
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,08/03/2016,46288995_2,1691.04,Revenue,20000010_46288995,Redacted personal details
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,08/03/2016,46288995_3,975.00,Revenue,20000010_46288995,Redacted personal details
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,08/03/2016,46288995_4,1950.00,Revenue,20000010_46288995,Redacted personal details
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,08/03/2016,46288996_1,1668.16,Revenue,20000010_46288996,Admiral Homes
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,08/03/2016,46288996_2,521.01,Revenue,20000010_46288996,Admiral Homes
