Service Area,Expenditure Catergory,Expenditure Code,Paid Date,Trans No,Amount,Type of Expenditure,Supplier ID,Supplier Name
General Fund,VAT Pro Forma Invoices,Z110205,07/02/2017,1034526 - 2,200.00,Revenue,20013684,ATKINS LIMITED
General Fund,AR Refunds (Sundries & Periodics),Z400404,06/01/2017,46292163 - 1,3528.98,Revenue,36721787,LINCOLN COLLEGE
General Fund,AR Refunds (Sundries & Periodics),Z400404,06/01/2017,46292166 - 0,892.35,Revenue,36722027,THE CHILTERNS MANAGEMENT CO LTD
General Fund,AR Refunds (Sundries & Periodics),Z400404,06/01/2017,46292167 - 1,507.04,Revenue,36725350,THE COUNCIL OF THE BOROUGH OF SOUTH SHIELDS
General Fund,AR Refunds (Sundries & Periodics),Z400404,06/01/2017,46292168 - 0,1332.21,Revenue,36725613,TOUCHLOAD LTD
General Fund,AR Refunds (Sundries & Periodics),Z400404,06/01/2017,46292170 - 0,3299.22,Revenue,36721990,JESUS COLLEGE
General Fund,C.I.T.Awaiting Payment,Z970590,17/01/2017,46292279 - 1,4924.69,Revenue,20016580,HMRC
General Fund,AR Refunds (Sundries & Periodics),Z400404,20/01/2017,46292360 - 1,500.00,Revenue,36019984,OXFORD CHRISTMAS MARKET C/O NIRA EVENTS
General Fund,AR Refunds (Sundries & Periodics),Z400404,20/01/2017,46292361 - 0,1000.00,Revenue,36018462,OXFORD UNIVERSITY HINDU SOCIETY
General Fund,AR Refunds (Sundries & Periodics),Z400404,03/02/2017,46292487 - 0,1780.00,Revenue,36013339,HEBBORNS AMUSEMENTS
General Fund,AR Refunds (Sundries & Periodics),Z400404,03/02/2017,46292489 - 0,546.00,Revenue,36701182,R P CHERRY & SON LTD
General Fund,VAT Pro Forma Invoices,Z110205,07/02/2017,46292524 - 2,107.25,Revenue,20016312,ECA LTD
General Fund,AR Refunds (Sundries & Periodics),Z400404,10/02/2017,46292600 - 1,1500.00,Revenue,36013052,CIRCUS STARR
General Fund,AR Refunds (Sundries & Periodics),Z400404,10/02/2017,46292601 - 0,2500.00,Revenue,36019931,OXFORD ROUND TABLE
General Fund,AR Refunds (Sundries & Periodics),Z400404,10/02/2017,46292602 - 0,1780.00,Revenue,36013339,HEBBORNS AMUSEMENTS
General Fund,C.I.T.Awaiting Payment,Z970590,21/02/2017,46292629 - 1,4499.96,Revenue,20016580,HMRC
General Fund,AR Refunds (Sundries & Periodics),Z400404,28/02/2017,46292710 - 1,1780.00,Revenue,20000000,GENERAL EXPENSES
General Fund,C.I.T.Awaiting Payment,Z970590,14/03/2017,46292874 - 1,4582.46,Revenue,20016580,HMRC
General Fund,AR Refunds (Sundries & Periodics),Z400404,10/03/2017,46292898 - 0,500.00,Revenue,36701470,OXFORD UNIVERSITY QUIDDITCH CLUB
General Fund,AR Refunds (Sundries & Periodics),Z400404,28/03/2017,46293098 - 1,546.90,Revenue,20000000,GENERAL EXPENSES
Assistant Chief Executive,General Contracted Services,D3401,10/01/2017,1033890 - 0,1400.00,Revenue,20015995,OXFORD DIGITAL MEDIA LTD
