Client,Service Area,Expenditure Catergory,Expenditure Code,Paid Date,Trans No,Amount,Type of Expenditure,Supplier ID,Supplier Name
OCC,General Fund,Developer Contributions Unapplied (capital),Z750101,09/01/2018,46296351 - 1,5000.00,Revenue,20000000,GENERAL EXPENSES
OCC,General Fund,C.I.T.Awaiting Payment,Z970590,16/01/2018,46296394 - 1,2745.94,Revenue,20016580,HMRC
OCC,General Fund,AR Refunds (Sundries & Periodics),Z400404,16/01/2018,46296435 - 1,5200.00,Revenue,20008178,WEST OXFORDSHIRE DISTRICT COUNCIL GENERAL A/C
OCC,General Fund,AR Refunds (Sundries & Periodics),Z400404,12/01/2018,46296458 - 1,3471.00,Revenue,36003780,REPONSE ORGANISATION
OCC,General Fund,AR Refunds (Sundries & Periodics),Z400404,12/01/2018,46296460 - 1,766.15,Revenue,36003478,MR J G PATTERSON
OCC,General Fund,AR Refunds (Sundries & Periodics),Z400404,12/01/2018,46296461 - 0,500.00,Revenue,36020545,VIRGIN SPORT UK LTD
OCC,General Fund,Developer Contributions Unapplied (capital),Z750101,16/01/2018,46296466 - 1,1750.00,Revenue,20004730,LITTLEMORE PARISH COUNCIL
OCC,General Fund,AR Refunds (Sundries & Periodics),Z400404,19/01/2018,46296488 - 1,662.37,Revenue,36725370,CHRISTIAN LIFE CENTRE
OCC,General Fund,AR Refunds (Sundries & Periodics),Z400404,19/01/2018,46296489 - 0,998.71,Revenue,36009552,DILLONS STORES LTD
OCC,General Fund,AR Refunds (Sundries & Periodics),Z400404,19/01/2018,46296490 - 1,3925.00,Revenue,36003771,OXFORD COMMUNITY WORK AGENCY L
OCC,General Fund,AR Refunds (Sundries & Periodics),Z400404,19/01/2018,46296494 - 1,500.00,Revenue,36019984,NIRA EVENTS
OCC,General Fund,AR Refunds (Sundries & Periodics),Z400404,26/01/2018,46296619 - 1,3471.00,Revenue,36003780,REPONSE ORGANISATION
OCC,General Fund,AR Refunds (Sundries & Periodics),Z400404,26/01/2018,46296620 - 0,851.72,Revenue,36020708,THE WINE SOCIETY
OCC,General Fund,AR Refunds (Sundries & Periodics),Z400404,30/01/2018,46296648 - 1,3919.65,Revenue,20000000,GENERAL EXPENSES
OCC,General Fund,Difference A/c,Z910198,16/01/2018,47023014 - 3,0.01,Revenue,,
