Body Name,Organisational Unit,Expenditure Category,Expenditure Code,Paid Date,Trans No,Amount,Type,Supplier ID,Supplier Name 
Oxford City Council,City Development,Services - General Fees,K9501,15/07/2014,46282421_1,1925,Revenue,20000000_46282421,Oxford & Cherwell Valley College
Oxford City Council,"Policy, Culture and Communication",Pitch & Site Rents,K9534,22/07/2014,46282506_1,500,Revenue,20000000_46282506,Oxford Pride Group
Oxford City Council,Customer Services,Grants,D3701,22/07/2014,46282575_1,2500,Revenue,20000000_46282575,The Oxford Retreat
Oxford City Council,"Policy, Culture and Communication",Pitch & Site Rents,K9534,29/07/2014,46282614_1,500,Revenue,20000000_46282614,Berks Bucks & Oxon Wildlife Trust
Oxford City Council,"Policy, Culture and Communication",Pitch & Site Rents,K9534,29/07/2014,46282615_1,1000,Revenue,20000000_46282615,Headington Action
Oxford City Council,"Policy, Culture and Communication",Pitch & Site Rents,K9534,29/07/2014,46282617_1,500,Revenue,20000000_46282617,Redacted personal data
Oxford City Council,Customer Services,Grants,D3701,29/07/2014,46282623_1,2500,Revenue,20000000_46282623,Oxford River Cruises Ltd. 
Oxford City Council,"Policy, Culture and Communication",Pitch & Site Rents,K9534,05/08/2014,46282639_1,500,Revenue,20000000_46282639,BIKE OXFORD
Oxford City Council,Customer Services,Grants,D3701,12/08/2014,46282748_1,2412,Revenue,20000000_46282748,ANDREW T N SMITH
Oxford City Council,Suspense,Creditors - BACS,J8810,12/08/2014,46282764_1,1980,Revenue,20000000_46282764,SOHA HOUSING
Oxford City Council,"Policy, Culture and Communication",Pitch & Site Rents,K9534,19/08/2014,46282793_1,500,Revenue,20000000_46282793,COSME Ltd. 
Oxford City Council,"Policy, Culture and Communication",Pitch & Site Rents,K9534,19/08/2014,46282794_1,500,Revenue,20000000_46282794,West Oxford Community Association
Oxford City Council,Customer Services,Grants,D3701,19/08/2014,46282808_1,5000,Revenue,20000000_46282808,Redacted personal data
Oxford City Council,Suspense,Housing - Freehold Disposals 75%,W0000,27/08/2014,46282860_1,2000,Revenue,20000000_46282860,Redacted personal data
Oxford City Council,Suspense,Bank Credits Suspense,K9901,05/09/2014,46282963_1,1842.04,Revenue,20000000_46282963,Redacted personal data
Oxford City Council,HRA,Special Events,D3807,09/09/2014,46282984_1,700.18,Revenue,20000000_46282984,Redacted personal data
Oxford City Council,Environmental Development,Public Transport,C2501,23/09/2014,46283178_1,99.8,Revenue,20000000_46283178,Redacted personal data
Oxford City Council,Environmental Development,Subsistence,D3601,23/09/2014,46283178_2,41.67,Revenue,20000000_46283178,Redacted personal data
Oxford City Council,Environmental Development,General Contracted Services,D3401,23/09/2014,46283178_3,600,Revenue,20000000_46283178,Redacted personal data
Oxford City Council,HRA,Special Events,D3807,23/09/2014,46283219_1,781.97,Revenue,20000000_46283219,Redacted personal data
Oxford City Council,"Leisure, Parks & Communities",Grants,D3701,26/09/2014,46283244_1,978,Revenue,20000000_46283244,Oxford and District Federation of Allotment Associations
