Body Name,Organisational Unit,Expenditure Category,Expenditure Code,Paid Date,Trans No,Amount,Capital or Revenue,Supplier ID,Supplier Name
Oxford City Council,Suspense,Property Rents/Income,K9550,03/07/2015,46286478_1,3419.25,Revenue,20000000_46286478,Mobile Fresh Ltd. 
Oxford City Council,Community Services,Grants,D3701,14/07/2015,46286491_1,600.00,Revenue,20000000_46286491,Boogie Bros
Oxford City Council,Direct Services,Reactive Maintenance & Minor Repairs,B1101,14/07/2015,46286500_1,1276.99,Revenue,20000000_46286500,Roy Leach
Oxford City Council,Direct Services,General Contracted Services,D3401,14/07/2015,46286527_1,840.00,Revenue,20000000_46286527,MMI Associates Ltd. 
Oxford City Council,Direct Services,General Contracted Services,D3401,14/07/2015,46286540_1,665.00,Revenue,20000000_46286540,MMI ASSOCIATES LTD
Oxford City Council,Direct Services,Other Licences And Fees,C2203,11/08/2015,46286733_1,25000.00,Revenue,20000000_46286733,VOSA
Oxford City Council,Organisational Development,General Contracted Services,D3401,11/08/2015,46286785_1,668.00,Revenue,20000000_46286785,DAVID BAKER
Oxford City Council,Planning & Regulatory,Provisions,D3101,25/08/2015,46286924_1,1773.90,Revenue,20000000_46286924,BENUGO
Oxford City Council,Housing and Property,Counsel & External Legal Fees,D3417,25/08/2015,46286955_1,13356.67,Revenue,20000000_46286955,JOHN GALLAGHER CLIENT ACCOUNT RE SHELTER LEGAL SERVICES
Oxford City Council,HRA,Repairs & Maintenance Works,B1301,25/08/2015,46286967_1,975.00,Revenue,20000000_46286967,MR B ABBOTT
Oxford City Council,Financial Services,Grants,D3701,02/09/2015,46287029_1,22500.00,Revenue,20000000_46287029,Southend Borough Council
Oxford City Council,Regeneration and Major Projects Team,Main Contractor,Y021,11/08/2015,48021276_1,55862.52,Capital,20000000_48021276,MITIE PROPERTY SERVICES (UK) LTD
Oxford City Council,HRA,Special Events,D3807,07/07/2015,46286440_1,2500.00,Revenue,20000010_46286440,"Redacted, personal data"
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,14/07/2015,46286505_1,900.00,Revenue,20000010_46286505,"Redacted, personal data"
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,14/07/2015,46286505_2,132.00,Revenue,20000010_46286505,"Redacted, personal data"
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,14/07/2015,46286516_1,900.00,Revenue,20000010_46286516,"Redacted, personal data"
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,21/07/2015,46286554_1,2000.00,Revenue,20000010_46286554,"Redacted, personal data"
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,28/07/2015,46286640_1,1650.00,Revenue,20000010_46286640,"Redacted, personal data"
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,28/07/2015,46286659_1,1295.00,Revenue,20000010_46286659,"Redacted, personal data"
Oxford City Council,HRA,Special Events,D3807,04/08/2015,46286663_1,1389.13,Revenue,20000010_46286663,"Redacted, personal data"
Oxford City Council,HRA,Special Events,D3807,04/08/2015,46286677_1,2489.20,Revenue,20000010_46286677,"Redacted, personal data"
Oxford City Council,Housing and Property,Homeless Prevention,D3426,04/08/2015,46286712_1,500.00,Revenue,20000010_46286712,"Redacted, personal data"
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,04/08/2015,46286713_1,1100.00,Revenue,20000010_46286713,"Redacted, personal data"
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,11/08/2015,46286792_1,810.00,Revenue,20000010_46286792,"Redacted, personal data"
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,11/08/2015,46286794_1,1387.50,Revenue,20000010_46286794,"Redacted, personal data"
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,11/08/2015,46286796_1,700.00,Revenue,20000010_46286796,"Redacted, personal data"
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,18/08/2015,46286834_1,675.24,Revenue,20000010_46286834,"Redacted, personal data"
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,18/08/2015,46286878_1,895.00,Revenue,20000010_46286878,"Redacted, personal data"
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,18/08/2015,46286879_1,1095.00,Revenue,20000010_46286879,"Redacted, personal data"
Oxford City Council,Housing and Property,Rent,B1701,18/08/2015,46286881_1,650.00,Revenue,20000010_46286881,"Redacted, personal data"
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,18/08/2015,46286882_1,2900.00,Revenue,20000010_46286882,"Redacted, personal data"
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,25/08/2015,46286946_1,694.40,Revenue,20000010_46286946,"Redacted, personal data"
Oxford City Council,HRA,Special Events,D3807,25/08/2015,46286965_1,1586.88,Revenue,20000010_46286965,"Redacted, personal data"
Oxford City Council,HRA,Special Events,D3807,25/08/2015,46286966_1,2589.74,Revenue,20000010_46286966,"Redacted, personal data"
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,08/09/2015,46287032_1,1821.30,Revenue,20000010_46287032,LEE & LINDARS
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,08/09/2015,46287033_1,500.00,Revenue,20000010_46287033,LEE & LINDARS
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,08/09/2015,46287035_1,3200.00,Revenue,20000010_46287035,LEE & LINDARS
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,08/09/2015,46287038_1,545.52,Revenue,20000010_46287038,"Redacted, personal data"
