Client,Service Area,Expenditure Catergory,Expenditure Code,Paid Date,Trans No,Amount,Type of Expenditure,Supplier ID,Supplier Name
OCC,General Fund,C.I.T.Awaiting Payment,Z970590,19/07/2016,46290475 - 1,1541.69,Revenue,20016580,HMRC
OCC,General Fund,AR Refunds (Sundries & Periodics),Z400404,22/07/2016,46290516 - 0,780,Revenue,36701366,RIPON COLLEGE
OCC,General Fund,AR Refunds (Sundries & Periodics),Z400404,22/07/2016,46290520 - 0,1000,Revenue,36019053,HEADINGTON ACTION
OCC,General Fund,AR Refunds (Sundries & Periodics),Z400404,22/07/2016,46290524 - 0,500,Revenue,36018389,BIKE EVENTS LTD
OCC,General Fund,AR Refunds (Sundries & Periodics),Z400404,22/07/2016,46290525 - 1,500,Revenue,36022756,FLORENCE PARK FESTIVAL
OCC,General Fund,AR Refunds (Sundries & Periodics),Z400404,22/07/2016,46290526 - 0,1000,Revenue,36800225,SpaceandPeople PLC
OCC,General Fund,AR Refunds (Sundries & Periodics),Z400404,22/07/2016,46290530 - 0,2500,Revenue,36013015,WOC LTD T/A ZIPPOS CIRCUS
OCC,General Fund,AR Refunds (Sundries & Periodics),Z400404,29/07/2016,46290631 - 1,1140,Revenue,36022876,SJM CONCERTS
OCC,General Fund,AR Refunds (Sundries & Periodics),Z400404,09/08/2016,46290696 - 1,906.48,Revenue,20000011,RENT REFUNDS
OCC,General Fund,C.I.T.Awaiting Payment,Z970590,17/08/2016,46290763 - 1,4396.12,Revenue,20016580,HMRC
OCC,General Fund,AR Refunds (Sundries & Periodics),Z400404,06/09/2016,46291003 - 1,1000,Revenue,20000000,GENERAL EXPENSES
OCC,General Fund,AR Refunds (Sundries & Periodics),Z400404,09/09/2016,46291042 - 1,1000,Revenue,36023051,
OCC,General Fund,AR Refunds (Sundries & Periodics),Z400404,09/09/2016,46291045 - 0,1000,Revenue,36800361,HeyHuman Ltd
OCC,General Fund,C.I.T.Awaiting Payment,Z970590,20/09/2016,46291098 - 1,2752.21,Revenue,20016580,HMRC
OCC,General Fund,AR Refunds (Sundries & Periodics),Z400404,16/09/2016,46291128 - 0,1074,Revenue,36701062,THE ORDERS OF ST JOHN CARE TRUST
OCC,General Fund,AR Refunds (Sundries & Periodics),Z400404,16/09/2016,46291130 - 0,1200,Revenue,36023531,
OCC,General Fund,AR Refunds (Sundries & Periodics),Z400404,20/09/2016,46291132 - 1,2018.26,Revenue,20000000,GENERAL EXPENSES
OCC,General Fund,AR Refunds (Sundries & Periodics),Z400404,20/09/2016,46291133 - 1,2224.85,Revenue,20000000,GENERAL EXPENSES
OCC,General Fund,AR Refunds (Sundries & Periodics),Z400404,20/09/2016,46291134 - 1,500,Revenue,20000000,GENERAL EXPENSES
OCC,Assistant Chief Executive,Advertising & Publicity,D3802,27/09/2016,1028190 - 0,3500,Revenue,20007856,"NEWSQUEST MIDLANDS, WALES & SOUTH WEST"
OCC,Assistant Chief Executive,Advertising & Publicity,D3802,12/07/2016,1028984 - 0,875,Revenue,20007856,"NEWSQUEST MIDLANDS, WALES & SOUTH WEST"
