Client,Service Area,Expenditure Code,Paid Date,Trans No,Amount,Type of Expenditure,Supplier ID,Supplier Name
OCC,General Fund,Z110205,01/08/2017,1038986 - 2,198.35,Revenue,20019050,SMS CONNECTIONS LTD
OCC,General Fund,Z970590,18/07/2017,46294528 - 1,6203.92,Revenue,20016580,HMRC
OCC,General Fund,Z400404,21/07/2017,46294570 - 1,500,Revenue,36005603,RUN JERICHO
OCC,General Fund,Z400404,21/07/2017,46294572 - 1,500,Revenue,36022756,FLORENCE PARK FESTIVAL
OCC,General Fund,Z400404,21/07/2017,46294575 - 0,8331.02,Revenue,36721135,ST CLARES COLLEGE
OCC,General Fund,Z970590,15/08/2017,46294865 - 1,5572.2,Revenue,20016580,HMRC
OCC,General Fund,Z400404,15/08/2017,46294940 - 1,1753.18,Revenue,20000000,GENERAL EXPENSES
OCC,General Fund,Z400404,15/08/2017,46294941 - 1,608.02,Revenue,20000000,GENERAL EXPENSES
OCC,General Fund,Z400404,11/08/2017,46294995 - 0,587.5,Revenue,36020405,OXFORDSHIRE FEDERATION OF WOMEN'S INSTITUTES
OCC,General Fund,Z400404,18/08/2017,46295031 - 1,2500,Revenue,36018649,COWLEY ROAD WORKS
OCC,General Fund,Z400404,18/08/2017,46295033 - 1,500,Revenue,36022674,LOVE OXFORD
OCC,General Fund,Z400404,08/09/2017,46295184 - 0,700,Revenue,36023809,OXFORD HARMONIC CHOIR
OCC,General Fund,Z400404,08/09/2017,46295186 - 0,1000,Revenue,36019053,HEADINGTON ACTION
OCC,General Fund,Z970590,12/09/2017,46295195 - 1,4610.76,Revenue,20016580,HMRC
OCC,General Fund,Z400404,12/09/2017,46295211 - 1,501.2,Revenue,20000000,GENERAL EXPENSES
OCC,General Fund,Z110205,19/09/2017,46295275 - 2,219.8,Revenue,20000000,GENERAL EXPENSES
OCC,General Fund,Z400404,22/09/2017,46295302 - 0,1000,Revenue,36801188,PENNY TYACK
OCC,General Fund,Z400404,29/09/2017,46295362 - 0,500,Revenue,36801943,M&A SOCIAL ENTERPRISE
OCC,General Fund,Z400404,29/09/2017,46295365 - 1,500,Revenue,36009432,STAGECOACH IN OXFORDSHIRE
OCC,Assistant Chief Executive,D3802,18/07/2017,1038016 - 1,3228,Revenue,20019631,DLM DISTRIBUTION
OCC,Assistant Chief Executive,D3401,04/07/2017,1038045 - 0,3500,Revenue,20019473,WATERSHED ARTS TRUST LTD
OCC,Assistant Chief Executive,D3411,11/07/2017,1038174 - 0,56088,Revenue,20013711,DELOITTE LLP
OCC,Assistant Chief Executive,D3802,01/08/2017,1038328 - 1,1250,Revenue,20016562,ARTISAN INTELLEGENT PRINT SOLUTIONS
OCC,Assistant Chief Executive,D3802,18/07/2017,1038700 - 0,1242,Revenue,20007856,"NEWSQUEST MIDLANDS, WALES & SOUTH WEST"
OCC,Assistant Chief Executive,D3802,18/07/2017,1038701 - 0,574.56,Revenue,20007856,"NEWSQUEST MIDLANDS, WALES & SOUTH WEST"
OCC,Assistant Chief Executive,A0108,25/07/2017,1038783 - 0,12870,Revenue,20016203,PENNA PLC
OCC,Assistant Chief Executive,A0108,15/08/2017,1038867 - 0,12540,Revenue,20016203,PENNA PLC
OCC,Assistant Chief Executive,D3413,25/07/2017,1038912 - 0,1032.22,Revenue,20015282,INOVEM LTD
OCC,Assistant Chief Executive,D3401,22/08/2017,1039140 - 0,1400,Revenue,20015995,OXFORD DIGITAL MEDIA LTD
OCC,Assistant Chief Executive,D3401,22/08/2017,1039404 - 0,7472.5,Revenue,20019666,CONNECT PUBLIC AFFAIRS LTD
OCC,Assistant Chief Executive,A0108,30/08/2017,1039443 - 0,9900,Revenue,20016203,PENNA PLC
OCC,Assistant Chief Executive,D3804,26/09/2017,1040157 - 0,4457.35,Revenue,20018686,THE COPYRIGHT LICENSING AGENCY
OCC,Assistant Chief Executive,D3811,11/07/2017,46294412 - 1,2100,Revenue,20008415,HARTLEY MILNER
OCC,Assistant Chief Executive,A0108,18/07/2017,46294455 - 41,589.86,Revenue,20018053,REED SPECIALIST RECRUITMENT LTD
OCC,Assistant Chief Executive,D3701,18/07/2017,46294561 - 1,5000,Revenue,20002930,OXFORDSHIRE COUNTY COUNCIL
OCC,Assistant Chief Executive,D3811,25/07/2017,46294628 - 1,1000,Revenue,20000019,GRANT PAYMENTS
OCC,Assistant Chief Executive,A0108,22/08/2017,46295029 - 28,0.37,Revenue,20018053,REED SPECIALIST RECRUITMENT LTD
OCC,Transformation,A0108,04/07/2017,1038184 - 0,1000,Revenue,20006509,SOCITM LIMITED
OCC,Transformation,A0108,11/07/2017,1038363 - 0,1000,Revenue,20006509,SOCITM LIMITED
OCC,Transformation,A0108,11/07/2017,1038364 - 0,1000,Revenue,20006509,SOCITM LIMITED
OCC,Transformation,A0108,25/07/2017,1038440 - 0,1000,Revenue,20006509,SOCITM LIMITED
OCC,Transformation,A0108,25/07/2017,1038542 - 0,800,Revenue,20006509,SOCITM LIMITED
OCC,Transformation,A0108,15/08/2017,1038993 - 0,800,Revenue,20006509,SOCITM LIMITED
OCC,Transformation,A0108,15/08/2017,1039101 - 0,1000,Revenue,20006509,SOCITM LIMITED
OCC,Transformation,A0108,12/09/2017,1039497 - 0,1000,Revenue,20006509,SOCITM LIMITED
OCC,Transformation,A0108,12/09/2017,1039589 - 0,3000,Revenue,20006509,SOCITM LIMITED
OCC,Transformation,A0108,19/09/2017,1039839 - 0,1000,Revenue,20006509,SOCITM LIMITED
OCC,Transformation,A0108,26/09/2017,1039886 - 0,1000,Revenue,20006509,SOCITM LIMITED
OCC,Transformation,A0108,18/07/2017,46294455 - 5,18678.93,Revenue,20018053,REED SPECIALIST RECRUITMENT LTD
OCC,Transformation,A0108,22/08/2017,46295029 - 12,24866.76,Revenue,20018053,REED SPECIALIST RECRUITMENT LTD
