body_name,organisational_unit,expenditure_category,expenditure_code,paid_date,trans_no,amount,Type,supplier_id,supplier_name
Oxford City Council,"Policy, Culture and Communication",Pitch & Site Rents,K9534,07/10/2014,46283317_1,500,Revenue,20000000_46283317,Nattamon Chaoumduang
Oxford City Council,"Policy, Culture and Communication",Pitch & Site Rents,K9534,07/10/2014,46283344_1,500,Revenue,20000000_46283344,Bike Oxford
Oxford City Council,HRA,Special Events,D3807,07/10/2014,46283345_1,710.31,Revenue,20000000_46283345,Redacted Personal Data
Oxford City Council,HRA,Leasholders Service Charge Refunds,J8370,07/10/2014,46283346_1,542.65,Revenue,20000000_46283346,Redacted Personal Data
Oxford City Council,"Policy, Culture and Communication",Pitch & Site Rents,K9534,07/10/2014,46283347_1,750,Revenue,20000000_46283347,Co-operative bank OFVM T/A Film Oxford
Oxford City Council,"Policy, Culture and Communication",Pitch & Site Rents,K9534,14/10/2014,46283354_1,500,Revenue,20000000_46283354,WORLD VISION UK
Oxford City Council,"Leisure, Parks & Communities",Grants,D3701,10/10/2014,46283389_1,1350,Revenue,20000000_46283389,THOMSON TERRACE ALLOTMENT ASSOCIATION
Oxford City Council,"Leisure, Parks & Communities",Grants,D3701,10/10/2014,46283390_1,1000,Revenue,20000000_46283390,BARTON FIELDS ALLOTMENT ASSOCIATION
Oxford City Council,"Leisure, Parks & Communities",Grants,D3701,10/10/2014,46283391_1,606.54,Revenue,20000000_46283391,MINCHERY ROAD WEST ALLOTMENT ASSOCIATION
Oxford City Council,"Leisure, Parks & Communities",Grants,D3701,10/10/2014,46283392_1,1000,Revenue,20000000_46283392,ST CLEMENTS & DISTRICT ALLOTMENT ASSOCIATION
Oxford City Council,"Leisure, Parks & Communities",Grants,D3701,10/10/2014,46283394_1,700,Revenue,20000000_46283394,LENTHALL ROAD ROSE HILL ALLOTMENT ASSOCIATION
Oxford City Council,"Leisure, Parks & Communities",Grants,D3701,10/10/2014,46283395_1,614,Revenue,20000000_46283395,RISINGHURST ALLOTMENT ASSOCIATION
Oxford City Council,"Leisure, Parks & Communities",Grants,D3701,10/10/2014,46283396_1,1376,Revenue,20000000_46283396,EAST WARD ALLOTMENT ASSOCIATION
Oxford City Council,"Policy, Culture and Communication",Pitch & Site Rents,K9534,14/10/2014,46283401_1,1146.67,Revenue,20000000_46283401,THE MEDIA COMPANY PUBLICATIONS LTD
Oxford City Council,Human Resources & Facilities,Christmas Parties,K9403,14/10/2014,46283405_1,500,Revenue,20000000_46283405,LCIE LANDUAER LTD
Oxford City Council,"Policy, Culture and Communication",Grants,D3701,14/10/2014,46283422_1,600,Revenue,20000000_46283422,CAFE REASON BUTCH DANCE THEATRE
Oxford City Council,General Fund,AR Refunds (Sundries & Periodics),Z400404,14/10/2014,46283451_1,25800,Revenue,20000000_46283451,BRAVISSIMO LTD
Oxford City Council,"Policy, Culture and Communication",Pitch & Site Rents,K9534,21/10/2014,46283453_1,1000,Revenue,20000000_46283453,THE MARKETING ARENA SERVICES
Oxford City Council,Environmental Development,Public Transport,C2501,11/11/2014,46283745_1,73.57,Revenue,20000000_46283745,FUTERRA SUSTAINABILITY COMMUNICATIONS LTD
