Body_Name,Organisational Unit,Expenditure Category,Expenditure Code,Paid Date,Trans No,Amount,Capital or Revenue,Supplier ID,Supplier Name
Oxford City Council,Community Services,General Contracted Services,D3401,27/10/2015,46287555_1,1000,Revenue,20000000_46287555,Sarah Hyams
Oxford City Council,Law and Governance,Other Miscellaneous Expenses,D3811,30/10/2015,46287650_1,1000,Revenue,20000000_46287650,"Redacted, personal data"
Oxford City Council,Direct Services,Compensation,D3805,03/11/2015,46287657_1,673.31,Revenue,20000000_46287657,"Redacted, personal data"
Oxford City Council,Suspense,CIL Capital Reciepts in Advance,W3001,30/10/2015,46287677_1,12540,Revenue,20000000_46287677,Littlemore Parish Council
Oxford City Council,Law and Governance,Practicing Certificates,D3806,10/11/2015,46287739_1,3520,Revenue,20000000_46287739,The Law Society
Oxford City Council,Community Services,General Contracted Services,D3401,17/11/2015,46287834_1,1250,Revenue,20000000_46287834,OXFORD CASTLE QUARTER
Oxford City Council,Community Services,Pitch & Site Rents,K9534,24/11/2015,46288027_1,500,Revenue,20000000_46288027,Tne Leys Childrens Centre
Oxford City Council,Direct Services,Awards / Prizes,D3705,08/12/2015,46288158_1,743.18,Revenue,20000000_46288158,Oxford & District Federation of Allotment Assics
Oxford City Council,Community Services,Pitch & Site Rents,K9534,15/12/2015,46288165_1,500,Revenue,20000000_46288165,THE LEYS CHILDRENS CENTRE
Oxford City Council,Direct Services,General Contracted Services,D3401,22/12/2015,46288285_1,1780,Revenue,20000000_46288285,OCC ST BARNABAS CE (AIDED) PRIMARY
Oxford City Council,HRA,Direct Services,Y237,08/12/2015,48021341_1,750,Capital,20000000_48021341,"Redacted, personal data"
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,06/10/2015,46287324_1,694.4,Revenue,20000010_46287324,PENNY & SINCLAIR
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,06/10/2015,46287325_1,716.51,Revenue,20000010_46287325,LEEP PROPERTIES
Oxford City Council,Housing and Property,Homeless Prevention,D3426,13/10/2015,46287377_1,1200,Revenue,20000010_46287377,"Redacted, personal data"
Oxford City Council,Housing and Property,Rent Allowance Cheques (Home Choice),F5033,13/10/2015,46287391_1,1450,Revenue,20000010_46287391,"Redacted, personal data"
