Client,Service Area,Expenditure Catergory,Expenditure Code,Paid Date,Trans No,Amount,Type of Expenditure,Supplier ID,Supplier Name
OCC,General Fund,Difference A/c,Z910198,11/10/2016,1031433 - 5,-0.01,Revenue,,
OCC,General Fund,VAT Pro Forma Invoices,Z110205,06/12/2016,1033147 - 2,3022.4,Revenue,20013684,ATKINS LIMITED
OCC,General Fund,VAT Pro Forma Invoices,Z110205,06/12/2016,1033302 - 2,-980,Revenue,20018734,SMALLPLANET ASSESSORS
OCC,General Fund,AR Refunds (Sundries & Periodics),Z400404,07/10/2016,46291308 - 0,750,Revenue,36021114,VALE OF WHITE HORSE DISTRICT COUNCIL
OCC,General Fund,AR Refunds (Sundries & Periodics),Z400404,07/10/2016,46291310 - 0,500,Revenue,36022705,HEADINGTON ROAD RUNNERS
OCC,General Fund,AR Refunds (Sundries & Periodics),Z400404,07/10/2016,46291314 - 0,1000,Revenue,36022751,WORLD VISION UK
OCC,General Fund,C.I.T.Awaiting Payment,Z970590,11/10/2016,46291356 - 1,631.9,Revenue,20016580,HMRC
OCC,General Fund,VAT Pro Forma Invoices,Z110205,11/10/2016,46291364 - 2,161.82,Revenue,20018630,EXOR (SERVICES) LTD
OCC,General Fund,C.I.T.Awaiting Payment,Z970590,01/11/2016,46291508 - 1,1388.81,Revenue,20014479,GSR CONTRACTORS
OCC,General Fund,AR Refunds (Sundries & Periodics),Z400404,04/11/2016,46291555 - 0,661.25,Revenue,36020782,LESLIE BAYLISS
OCC,General Fund,AR Refunds (Sundries & Periodics),Z400404,04/11/2016,46291557 - 0,971.64,Revenue,36725522,OXFORD HOSPITALITY SERVICES (UK) LTD
OCC,General Fund,AR Refunds (Sundries & Periodics),Z400404,04/11/2016,46291558 - 1,924.18,Revenue,36724458,EMMAUS OXFORD
OCC,General Fund,AR Refunds (Sundries & Periodics),Z400404,04/11/2016,46291562 - 1,2250,Revenue,36019049,FOODIES FESTIVAL
OCC,General Fund,AR Refunds (Sundries & Periodics),Z400404,04/11/2016,46291563 - 0,500,Revenue,36019049,FOODIES FESTIVAL
OCC,General Fund,AR Refunds (Sundries & Periodics),Z400404,04/11/2016,46291565 - 0,3388.42,Revenue,36722854,OXFORD PLAYHOUSE THEATRE
OCC,General Fund,AR Refunds (Sundries & Periodics),Z400404,04/11/2016,46291566 - 1,500,Revenue,36022701,ACTION CHALLENGE UK
OCC,General Fund,AR Refunds (Sundries & Periodics),Z400404,04/11/2016,46291567 - 0,500,Revenue,36800710,WESTBOURNE COMMUNICATIONS
OCC,General Fund,AR Refunds (Sundries & Periodics),Z400404,04/11/2016,46291569 - 0,500,Revenue,36023479,DIABETES UK
OCC,General Fund,C.I.T.Awaiting Payment,Z970590,15/11/2016,46291678 - 1,1869.91,Revenue,20016580,HMRC
OCC,General Fund,AR Refunds (Sundries & Periodics),Z400404,18/11/2016,46291745 - 0,718.35,Revenue,36021632,THE ORDER OF ST JOHN CARE TRUST
OCC,General Fund,C.I.T.Awaiting Payment,Z970590,29/11/2016,46291790 - 1,540,Revenue,20016580,HMRC
OCC,General Fund,AR Refunds (Sundries & Periodics),Z400404,25/11/2016,46291836 - 0,1308,Revenue,36725754,AASVOGEL WASTE MANAGMENT (RE: OXFORD UNIVERSITY PRESS)
OCC,General Fund,AR Refunds (Sundries & Periodics),Z400404,06/12/2016,46291953 - 1,1068.84,Revenue,20018572,AGILE COLLECTIVE LTD
OCC,General Fund,C.I.T.Awaiting Payment,Z970590,13/12/2016,46292000 - 1,1487.78,Revenue,20016580,HMRC
OCC,General Fund,AR Refunds (Sundries & Periodics),Z400404,16/12/2016,46292035 - 0,1000,Revenue,36018462,OXFORD UNIVERSITY HINDU SOCIETY
OCC,General Fund,AR Refunds (Sundries & Periodics),Z400404,22/12/2016,46292112 - 1,500,Revenue,36020545,ACHIEVE EVENTS UK LTD
OCC,General Fund,AR Refunds (Sundries & Periodics),Z400404,22/12/2016,46292118 - 1,510.15,Revenue,36724468,MR S PINSIRANON T/A AT THAI RESTAURANT
OCC,General Fund,VAT Pro Forma Invoices,Z110205,15/11/2016,48021787 - 2,698.13,Revenue,20006023,SOUTHERN ELECTRIC POWER DIST. PLC
OCC,Assistant Chief Executive,Consultants Fees,D3411,04/10/2016,1031633 - 0,9585,Revenue,20016203,PENNA PLC
OCC,Assistant Chief Executive,Consultants Fees,D3411,01/11/2016,1032266 - 0,12780,Revenue,20016203,PENNA PLC
OCC,Assistant Chief Executive,General Contracted Services,D3401,01/11/2016,1032402 - 0,1300,Revenue,20015995,OXFORD DIGITAL MEDIA LTD
OCC,Assistant Chief Executive,General Contracted Services,D3401,01/11/2016,1032639 - 0,5000,Revenue,20011846,OXFORD CONSULTANTS FOR SOCIAL INCLUSION LTD
OCC,Assistant Chief Executive,Advertising & Publicity,D3802,29/11/2016,1032678 - 0,2100,Revenue,20018161,RUXLEY COMMUNICATIONS LTD
OCC,Assistant Chief Executive,Main Contractor,Y021,08/11/2016,1032802 - 1,118000,Capital,20002930,OXFORDSHIRE COUNTY COUNCIL
