Client,Service Area,Expenditure Category,Expenditure Code,Paid Date,Trans No,Amount,Type of Expenditure,Supplier ID,Supplier Name
OCC,General Fund,VAT Pro Forma Invoices,Z110205,10/10/2017,1040187 - 2,834.29,Revenue,20018026,UK GAS CONNECTION LTD
OCC,General Fund,AR Refunds (Sundries & Periodics),Z400404,06/10/2017,46295432 - 0,1140,Revenue,36801781,STOWE SCHOOL
OCC,General Fund,AR Refunds (Sundries & Periodics),Z400404,06/10/2017,46295433 - 1,500,Revenue,36801971,
OCC,General Fund,AR Refunds (Sundries & Periodics),Z400404,06/10/2017,46295434 - 0,1450.86,Revenue,36003133,THE BBC C/O LAMBERT SMITH
OCC,General Fund,AR Refunds (Sundries & Periodics),Z400404,13/10/2017,46295533 - 1,500,Revenue,36014162,BANGKOK HOUSE LTD
OCC,General Fund,AR Refunds (Sundries & Periodics),Z400404,13/10/2017,46295534 - 0,2500,Revenue,36019049,FOODIES FESTIVAL
OCC,General Fund,AR Refunds (Sundries & Periodics),Z400404,13/10/2017,46295535 - 1,9625,Revenue,36802017,THE THOMAS HARRIS INTERNATIONAL PIANO FOUNDATION
OCC,General Fund,AR Refunds (Sundries & Periodics),Z400404,13/10/2017,46295536 - 0,1000,Revenue,36022751,WORLD VISION UK
OCC,General Fund,AR Refunds (Sundries & Periodics),Z400404,13/10/2017,46295538 - 0,6164.62,Revenue,36701200,STONEWATER
OCC,General Fund,AR Refunds (Sundries & Periodics),Z400404,17/10/2017,46295551 - 1,1193,Revenue,20000000,GENERAL EXPENSES
OCC,General Fund,C.I.T.Awaiting Payment,Z970590,17/10/2017,46295575 - 1,2200.87,Revenue,20016580,HMRC
OCC,General Fund,AR Refunds (Sundries & Periodics),Z400404,20/10/2017,46295581 - 0,659,Revenue,36022121,BAINTON CAPTIAL PARTNERS LTD
OCC,General Fund,AR Refunds (Sundries & Periodics),Z400404,20/10/2017,46295582 - 1,9625,Revenue,36802017,THE THOMAS HARRIS INTERNATIONAL PIANO FOUNDATION
OCC,General Fund,AR Refunds (Sundries & Periodics),Z400404,20/10/2017,46295584 - 1,500,Revenue,36010210,UNIVERSITY OF OXFORD
OCC,General Fund,AR Refunds (Sundries & Periodics),Z400404,19/10/2017,46295630 - 1,34171.58,Revenue,20000000,GENERAL EXPENSES
OCC,General Fund,AR Refunds (Sundries & Periodics),Z400404,24/10/2017,46295639 - 1,34171.58,Revenue,20000000,GENERAL EXPENSES
OCC,General Fund,C.I.T.Awaiting Payment,Z970590,14/11/2017,46295843 - 1,5519.95,Revenue,20016580,HMRC
OCC,General Fund,AR Refunds (Sundries & Periodics),Z400404,17/11/2017,46295933 - 1,5850,Revenue,36014829,BANQUETS OF OXFORD LTD
OCC,General Fund,AR Refunds (Sundries & Periodics),Z400404,17/11/2017,46295936 - 0,558.9,Revenue,36023479,DIABETES UK
OCC,General Fund,AR Refunds (Sundries & Periodics),Z400404,17/11/2017,46295937 - 1,1816,Revenue,36801505,ARCHER YATES ASSOCIATES LTD
OCC,General Fund,AR Refunds (Sundries & Periodics),Z400404,21/11/2017,46295954 - 1,1069.25,Revenue,20000000,GENERAL EXPENSES
OCC,General Fund,AR Refunds (Sundries & Periodics),Z400404,19/12/2017,46295977 - 1,3065.22,Revenue,20002952,LINCOLN COLLEGE
OCC,General Fund,AR Refunds (Sundries & Periodics),Z400404,28/11/2017,46295978 - 1,604,Revenue,20000000,GENERAL EXPENSES
OCC,General Fund,AR Refunds (Sundries & Periodics),Z400404,28/11/2017,46295980 - 1,979.64,Revenue,20000000,GENERAL EXPENSES
OCC,General Fund,AR Refunds (Sundries & Periodics),Z400404,05/12/2017,46296099 - 1,3721.55,Revenue,20000000,GENERAL EXPENSES
OCC,General Fund,AR Refunds (Sundries & Periodics),Z400404,27/12/2017,46296100 - 1,1305.27,Revenue,20008991,ST JOHNS COLLEGE
OCC,General Fund,AR Refunds (Sundries & Periodics),Z400404,27/12/2017,46296101 - 1,1241.84,Revenue,20008991,ST JOHNS COLLEGE
OCC,General Fund,AR Refunds (Sundries & Periodics),Z400404,01/12/2017,46296110 - 1,500,Revenue,36802302,VIRGIN SPORT UK LIMITED
OCC,General Fund,AR Refunds (Sundries & Periodics),Z400404,01/12/2017,46296111 - 0,2300,Revenue,36802295,TONY HOPKINS ENTERTAINMENTS LTD
OCC,General Fund,AR Refunds (Sundries & Periodics),Z400404,01/12/2017,46296112 - 1,500,Revenue,36010210,UNIVERSITY OF OXFORD
OCC,General Fund,AR Refunds (Sundries & Periodics),Z400404,19/12/2017,46296172 - 1,3681.19,Revenue,20000000,GENERAL EXPENSES
OCC,General Fund,C.I.T.Awaiting Payment,Z970590,19/12/2017,46296208 - 1,2276.59,Revenue,20016580,HMRC
OCC,General Fund,AR Refunds (Sundries & Periodics),Z400404,21/12/2017,46296306 - 1,1500,Revenue,36013052,CIRCUS STARR
OCC,General Fund,AR Refunds (Sundries & Periodics),Z400404,21/12/2017,46296310 - 1,500,Revenue,36800317,
OCC,General Fund,AR Refunds (Sundries & Periodics),Z400404,21/12/2017,46296312 - 1,3287.67,Revenue,36020182,BACKWOOD LTD
OCC,General Fund,AR Refunds (Sundries & Periodics),Z400404,21/12/2017,46296313 - 0,500,Revenue,36009432,STAGECOACH IN OXFORDSHIRE
OCC,General Fund,AR Refunds (Sundries & Periodics),Z400404,21/12/2017,46296315 - 0,6000,Revenue,36008079,HEADINGTON SCHOOL OXFORD LTD
